Deeply Under Construction.

row     status      agegrp      cond        duration
----------------------------------------------------
 10369  recovered   age0_19     65|78      
 10395  recovered   age0_19     54|85      
 10427  recovered   age0_19     57|67      
 10447  recovered   age0_19     47|57      
 10454  recovered   age0_19     46|57      
 10457  recovered   age0_19     61|71      
 10458  recovered   age0_19     58|68      
 10509  recovered   age0_19     49|69      
 10627  recovered   age0_19     29|47      
 10661  recovered   age0_19     72|88      
 10669  recovered   age0_19     53|73      
 10702  recovered   age0_19     70|91      
 10710  recovered   age0_19     79|90      
 10744  recovered   age0_19     43|61      
 10806  recovered   age0_19     38|56      
 10866  recovered   age0_19     64|77|94   
 10872  recovered   age0_19     40|53      
 10925  recovered   age0_19     54|68      
 11017  recovered   age0_19     47|61      
 11034  recovered   age0_19     62|91      
 11095  recovered   age0_19     50|75      
 11101  recovered   age0_19     57|67|87   
 11105  recovered   age0_19     67|83      
 11111  recovered   age0_19     53|79      
 11117  recovered   age0_19     53|76      
 11128  recovered   age0_19     58|74      
 11135  recovered   age0_19     55|70      
 11183  recovered   age0_19     65|75      
 11190  recovered   age0_19     54|65      
 11219  recovered   age0_19     80|95      
 11353  recovered   age0_19     55|78      
 11379  recovered   age0_19     63|80      
 11422  recovered   age0_19     54|71      
 11435  recovered   age0_19     61|110     
 11462  recovered   age0_19     38|64      
 11481  recovered   age0_19     52|71      
 11484  recovered   age0_19     60|89      
 11498  recovered   age0_19     70|84      
 11539  recovered   age0_19     55|86      
 11593  recovered   age0_19     55|71      
 11613  recovered   age0_19     51|61|70   
 11671  recovered   age0_19     69|84      
 11682  recovered   age0_19     62|89      
 11715  recovered   age0_19     60|69      
 11726  recovered   age0_19     51|67      
 11736  recovered   age0_19     55|68      
 11743  recovered   age0_19     52|69      
 11753  recovered   age0_19     59|78      
 11775  recovered   age0_19     59|76      
 11847  recovered   age0_19     52|72      
 11855  recovered   age0_19     73|90      
 11877  recovered   age0_19     72|101     
 11878  recovered   age0_19     50|94      
 11901  recovered   age0_19     63|108     
 11909  recovered   age0_19     49|91      
 11942  recovered   age0_19     66|80      
 11956  recovered   age0_19     56|68      
 11972  recovered   age0_19     70|84      
 11979  recovered   age0_19     38|61      
 12020  recovered   age0_19     66|78      
 12043  recovered   age0_19     56|68      
 12110  recovered   age0_19     62|91      
 12189  recovered   age0_19     41|50      
 12244  recovered   age0_19     44|60      
 12281  recovered   age0_19     50|65      
 12294  recovered   age0_19     61|80      
 12325  recovered   age0_19     39|74      
 12398  recovered   age0_19     57|75      
 12402  recovered   age0_19     56|68      
 12500  recovered   age0_19     74|90      
 12533  recovered   age0_19     43|59      
 12567  recovered   age0_19     52|71      
 12595  recovered   age0_19     63|82      
 12598  recovered   age0_19     50|76      
 12613  recovered   age0_19     75|119     
 12631  recovered   age0_19     61|71      
 12638  recovered   age0_19     64|73      
 12685  recovered   age0_19     48|88      
 12725  recovered   age0_19     61|74      
 12761  recovered   age0_19     93|103     
 12837  recovered   age0_19     68|83      
 12844  recovered   age0_19     57|89      
 12859  recovered   age0_19     63|89      
 12874  recovered   age0_19     51|68      
 12904  recovered   age0_19     48|69      
 12922  recovered   age0_19     56|71      
 12925  recovered   age0_19     51|66      
 12975  recovered   age0_19     48|66      
 13018  recovered   age0_19     54|104     
 13062  recovered   age0_19     61|74      
 13084  recovered   age0_19     69|125     
 13097  recovered   age0_19     70|81      
 13098  recovered   age0_19     54|69      
 13121  recovered   age0_19     70|92      
 13131  recovered   age0_19     63|109     
 13163  recovered   age0_19     58|78      
 13170  recovered   age0_19     43|75      
 13186  recovered   age0_19     59|80      
 13205  recovered   age0_19     48|62      
 13264  recovered   age0_19     65|80      
 13284  recovered   age0_19     54|73      
 13288  recovered   age0_19     59|82      
 13318  recovered   age0_19     54|73      
 13422  recovered   age0_19     53|64      
 13434  recovered   age0_19     67|86      
 13469  recovered   age0_19     50|61|71|10
 13516  recovered   age0_19     55|65      
 13521  recovered   age0_19     57|76      
 13595  recovered   age0_19     67|77      
 13617  recovered   age0_19     63|75      
 13679  recovered   age0_19     57|66      
 13681  recovered   age0_19     60|71      
 13682  recovered   age0_19     54|80      
 13688  recovered   age0_19     57|67      
 13714  recovered   age0_19     43|68      
 13755  recovered   age0_19     53|66      
 13757  recovered   age0_19     69|93      
 13798  recovered   age0_19     77|89      
 13833  recovered   age0_19     58|72      
 13868  recovered   age0_19     61|85      
 13948  recovered   age0_19     49|71      
 13993  recovered   age0_19     64|78      
 14035  recovered   age0_19     57|75      
 14083  recovered   age0_19     62|84      
 14121  recovered   age0_19     69|95      
 14209  recovered   age0_19     67|84      
 14241  recovered   age0_19     63|81      
 14289  recovered   age0_19     56|83      
 14350  recovered   age0_19     51|66      
 14373  recovered   age0_19     60|75      
 14426  recovered   age0_19     58|70      
 14439  recovered   age0_19     61|79      
 14506  recovered   age0_19     61|92      
 14551  recovered   age0_19     69|85      
 14559  recovered   age0_19     63|80      
 14590  recovered   age0_19     40|64      
 14597  recovered   age0_19     49|83      
 14601  recovered   age0_19     73|111     
 14641  recovered   age0_19     61|84      
 14655  recovered   age0_19     60|89      
 14692  recovered   age0_19     64|76      
 14723  recovered   age0_19     48|63      
 14747  recovered   age0_19     45|57      
 14772  recovered   age0_19     60|80      
 14789  recovered   age0_19     44|62      
 14882  recovered   age0_19     65|82      
 14927  recovered   age0_19     60|95      
 14965  recovered   age0_19     46|73      
 14976  recovered   age0_19     68|88      
 15073  recovered   age0_19     59|73      
 15077  recovered   age0_19     59|81      
 15083  recovered   age0_19     56|90      
 15093  recovered   age0_19     66|100     
 15128  recovered   age0_19     68|79      
 15132  recovered   age0_19     47|63      
 15141  recovered   age0_19     55|74|83   
 15156  recovered   age0_19     61|74      
 15161  recovered   age0_19     51|80      
 15177  recovered   age0_19     54|73      
 15202  recovered   age0_19     59|69      
 15225  recovered   age0_19     66|85      
 15231  recovered   age0_19     70|109     
 15272  recovered   age0_19     53|76      
 15278  recovered   age0_19     64|80      
 15289  recovered   age0_19     53|78      
 15317  recovered   age0_19     55|77      
 15344  recovered   age0_19     49|65      
 15397  recovered   age0_19     60|94      
 15410  recovered   age0_19     48|100     
 15448  recovered   age0_19     58|70      
 15485  recovered   age0_19     56|70      
 15503  recovered   age0_19     57|77      
 15511  recovered   age0_19     64|78      
 15519  recovered   age0_19     41|55      
 15525  recovered   age0_19     46|79      
 15530  recovered   age0_19     53|69      
 15550  recovered   age0_19     44|61|88   
 15564  recovered   age0_19     62|83      
 15566  recovered   age0_19     85|99      
 15647  recovered   age0_19     74|109     
 15682  recovered   age0_19     65|83      
 15710  recovered   age0_19     79|94      
 15762  recovered   age0_19     36|70      
 15787  recovered   age0_19     71|89      
 15871  recovered   age0_19     67|97      
 15921  recovered   age0_19     44|62      
 15939  recovered   age0_19     53|70      
 16012  recovered   age0_19     56|74      
 16022  recovered   age0_19     49|66      
 16026  recovered   age0_19     59|73      
 16058  recovered   age0_19     48|58      
 16068  recovered   age0_19     64|78      
 16189  recovered   age0_19     58|68      
 16257  recovered   age0_19     60|77      
 16258  recovered   age0_19     87|109     
 16260  recovered   age0_19     80|94      
 16323  recovered   age0_19     47|62      
 16324  recovered   age0_19     60|96      
 16389  recovered   age0_19     50|63      
 16401  recovered   age0_19     62|80      
 16475  recovered   age0_19     55|82      
 16491  recovered   age0_19     61|85      
 16517  recovered   age0_19     24|57      
 16570  recovered   age0_19     49|73      
 16573  recovered   age0_19     69|90      
 16655  recovered   age0_19     64|125     
 16686  recovered   age0_19     64|78      
 16750  recovered   age0_19     71|85      
 16776  recovered   age0_19     51|107     
 16796  recovered   age0_19     58|107     
 16817  recovered   age0_19     64|89      
 16819  recovered   age0_19     33|72      
 16855  recovered   age0_19     66|77      
 16881  recovered   age0_19     65|79      
 16917  recovered   age0_19     67|90      
 16930  recovered   age0_19     55|65      
 16935  recovered   age0_19     80|89      
 16958  recovered   age0_19     44|59      
 16968  recovered   age0_19     52|62      
 16970  recovered   age0_19     54|65      
